model,N,n_qubits,noise_regime,noise_level,replicate,train_auc,val_score,test_auc,gen_gap,best_epoch,restarts_used,escaped,n_train,n_params,seed,train_secs
non_equivariant,1000,4,none,none,2,0.8916930730817066,0.8401840184018402,0.852241,0.03945207308170662,28,1,True,1000,61,3221595973,42.57
equivariant,1000,4,none,none,17,0.899521202120212,0.8813601762820513,0.8693759999999999,0.0301452021202121,45,1,True,1000,61,1565037564,86.79
non_equivariant,50,4,none,none,3,0.924812030075188,0.7916666666666666,0.8051695000000001,0.11964253007518788,40,1,True,50,61,422969017,6.0
non_equivariant,200,4,correlated,low,2,0.883671875,0.8675,0.8469550000000001,0.03671687499999987,55,1,True,200,61,3918929753,707.07
equivariant,500,4,none,none,16,0.9227013221153847,0.8752052545155993,0.858479,0.0642223221153847,48,1,True,500,61,3302818700,49.02
non_equivariant,200,8,correlated,low,0,0.8491244527829894,0.648989898989899,0.8421730000000001,0.006951452782989365,26,1,True,200,153,3832603222,3034.68
non_equivariant,200,6,correlated,low,2,0.90171875,0.905,0.8558209999999999,0.04589775000000007,74,1,True,200,103,3918929753,2084.06
non_equivariant,20,4,none,none,16,0.578125,0.5,0.556276,0.021849000000000007,26,1,True,20,61,1854664226,3.49
equivariant,200,8,correlated,low,7,0.8691910499139414,0.8107416879795397,0.83325,0.035941049913941314,26,1,True,200,153,2152804316,3074.61
classical_matched,200,0,none,none,6,0.6369047619047619,0.6588541666666667,0.6249029999999999,0.012001761904761987,50,1,True,200,61,419792074,0.38
non_equivariant,500,4,none,none,15,0.8874796747967479,0.7745454545454546,0.8435719999999999,0.043907674796748064,26,1,True,500,61,2147192467,27.02
equivariant,1000,4,none,none,6,0.8805818081808181,0.8700921474358974,0.858625,0.021956808180818133,30,1,True,1000,61,2662996928,46.07
non_equivariant,1000,4,none,none,7,0.8876909422735568,0.9076630652260904,0.856865,0.03082594227355684,34,1,True,1000,61,2784139551,52.61
classical_matched,20,0,none,none,15,0.4333333333333333,-0.6569127440452576,0.5315895,-0.09825616666666676,26,1,True,20,61,917964501,0.07
equivariant,200,2,correlated,mid,2,0.8133593749999999,0.92625,0.7685555000000001,0.044803874999999826,26,2,True,200,27,3918929753,177.13
